team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Al Ahli SC Jeddah,Al Ahli,2024/2025,Saudi Arabia,26,13,13,0,15,8,7,4,3,1,7,2,5,1.88,2.08,1.69,5,4,6,5,50,27,23,77,46,31,31,19,15,12,16,7,47,38,62,87,78,98,9,5,4,13,8,5,4,0,4,19,11,8,131,66,65,70,35,35,53,54,52,375,209,166,202,111,91,173,98,75,379,202,177,17,11,6,9,5,4,8,6,2,11,6,5,9,4,5,6,3,3,1.62,1.69,1.54,2.96,3.54,2.38,1.92,2.38,1.46,1.04,1.15,0.92,1,1.23,0.77,0.65,0.85,0.46,0.35,0.38,0.31,26,20,13,9,7,2,13,12,8,7,5,1,13,8,5,2,2,1,0,6,13,17,19,24,0,1,5,6,8,12,0,5,8,11,11,12,100,77,50,35,27,8,100,92,62,54,38,8,100,62,38,15,15,8,0,23,50,65,73,92,0,8,38,46,62,92,0,38,62,85,85,92,18,5,3,10,4,2,8,1,1,69,19,12,77,31,15,62,8,8,58,62,54,7,35,38,31,50,62,38,15,0,31,73,85,62,19,9,10,73,69,77,12,5,7,46,38,54,3,2,1,12,15,8,42,46,38,35,31,38,23,23,23,5.04,5.08,5.00,2.69,2.69,2.69,88,73,62,42,27,12,12,4,1.92,2.06,1.78,1.23,1.18,1.28,54,4,5,5,1,5,9,6,5,10,0,0,2,1,7,2,1,5,9,15,23,8,27,15,38,0
Al Fateh SC,Al Fateh,2024/2025,Saudi Arabia,26,13,13,0,6,4,2,5,3,2,15,6,9,0.88,1.15,0.62,16,12,18,16,28,50,-22,78,36,42,17,11,19,31,-2,-20,83,69,106,47,62,38,2,2,0,18,11,7,6,0,6,10,6,4,131,64,67,60,26,34,50,53,47,336,180,156,153,83,70,183,97,86,348,188,160,10,6,4,19,7,12,-9,-1,-8,7,5,2,7,3,4,12,5,7,1.08,1.38,0.77,3,2.77,3.23,1.08,1.31,0.85,1.92,1.46,2.38,1.12,1,1.23,0.38,0.46,0.31,0.73,0.54,0.92,26,23,16,6,2,2,13,11,8,2,1,1,13,12,8,4,1,1,0,3,10,20,24,24,0,2,5,11,12,12,0,1,5,9,12,12,100,88,62,23,8,8,100,85,62,15,8,8,100,92,62,31,8,8,0,12,38,77,92,92,0,15,38,85,92,92,0,8,38,69,92,92,20,5,3,10,2,1,10,3,2,77,19,12,77,15,8,77,23,15,23,31,15,23,8,15,0,69,85,54,23,0,46,38,46,31,11,7,4,42,54,31,18,8,10,69,62,77,3,1,2,12,8,15,27,38,15,27,23,31,46,38,54,5.04,4.92,5.15,2.31,2,2.62,92,88,73,69,57,46,31,15,1.64,1.69,1.58,1.75,1.58,1.94,62,1,1,3,2,5,6,2,4,4,2,3,3,3,9,6,9,3,12,19,23,15,58,46,69,8
Al Ittifaq FC Dammam,Al Ittifaq,2024/2025,Saudi Arabia,26,12,14,0,10,3,7,6,0,6,10,9,1,1.38,0.75,1.93,8,17,2,8,33,37,-4,70,34,36,11,22,23,14,-12,8,71,98,57,63,47,90,6,2,4,15,5,10,6,5,1,8,3,5,119,56,63,61,27,34,50,51,49,298,139,159,139,64,75,159,75,84,288,130,158,12,6,6,18,12,6,-6,-6,0,6,2,4,8,3,5,12,7,5,1,0.75,1.21,2.69,2.83,2.57,1.27,0.92,1.57,1.42,1.92,1,1.15,1.5,0.86,0.46,0.5,0.43,0.69,1,0.43,25,21,14,7,3,0,12,9,7,4,2,0,13,12,7,3,1,0,1,5,12,19,23,26,0,3,5,8,10,12,1,2,7,11,13,14,96,81,54,27,12,0,100,75,58,33,17,0,93,86,50,21,7,0,4,19,46,73,88,100,0,25,42,67,83,100,7,14,50,79,93,100,20,7,3,10,5,3,10,2,0,77,27,12,83,42,25,71,14,0,38,25,50,-32,23,17,29,58,42,71,23,42,7,31,25,36,10,2,8,38,17,57,17,8,9,65,67,64,5,4,1,19,33,7,23,17,29,31,25,36,46,58,36,4.58,4.67,4.50,2.35,2.25,2.43,92,69,62,46,27,19,19,12,1.51,1.52,1.50,1.55,1.65,1.46,42,1,0,2,2,7,2,2,6,11,0,3,3,7,6,3,9,1,5,23,0,43,38,75,7,12
Al Hilal FC Riyadh,Al Hilal,2024/2025,Saudi Arabia,26,13,13,0,18,10,8,3,1,2,5,2,3,2.19,2.38,2,2,2,3,2,73,31,42,104,58,46,43,30,15,16,28,14,32,27,39,76,78,73,9,4,5,17,9,8,0,0,0,18,9,9,187,104,83,40,15,25,62,65,60,409,228,181,198,109,89,211,119,92,314,164,150,35,21,14,10,3,7,25,18,7,16,9,7,4,2,2,6,2,4,2,2.23,1.77,4,4.46,3.54,2.81,3.31,2.31,1.19,1.15,1.23,1.73,1.85,1.62,1.35,1.62,1.08,0.38,0.23,0.54,26,26,21,15,10,3,13,13,11,10,6,2,13,13,10,5,4,1,0,0,5,11,16,23,0,0,2,3,7,11,0,0,3,8,9,12,100,100,81,58,38,12,100,100,85,77,46,15,100,100,77,38,31,8,0,0,19,42,62,88,0,0,15,23,54,85,0,0,23,62,69,92,24,11,8,12,6,4,12,5,4,92,42,31,92,46,31,92,38,31,69,77,62,11,35,31,38,65,69,62,0,0,0,69,69,69,17,10,7,65,77,54,7,3,4,27,23,31,4,1,3,15,8,23,62,69,54,15,15,15,23,15,31,7.19,8.00,6.38,1.54,1.15,1.92,88,85,69,57,42,35,35,27,2.05,2.20,1.87,1.02,0.98,1.05,115,7,10,2,6,13,6,6,9,14,4,1,1,0,9,3,1,3,9,12,8,15,19,15,23,19
Al Shabab FC Riyadh,Al Shabab,2024/2025,Saudi Arabia,26,13,13,0,14,8,6,4,1,3,8,4,4,1.77,1.92,1.62,6,6,7,6,50,31,19,81,44,37,29,21,15,16,14,5,47,40,56,76,78,73,7,3,4,17,9,8,2,1,1,17,8,9,122,73,49,56,27,29,56,55,57,337,188,149,163,91,72,174,97,77,298,149,149,19,9,10,12,3,9,7,6,1,11,5,6,11,8,3,4,0,4,1.69,1.77,1.62,3.12,3.38,2.85,1.92,2.23,1.62,1.19,1.15,1.23,1.19,0.92,1.46,0.73,0.69,0.77,0.46,0.23,0.69,26,21,18,10,4,2,13,11,10,5,3,2,13,10,8,5,1,0,0,5,8,16,22,24,0,2,3,8,10,11,0,3,5,8,12,13,100,81,69,38,15,8,100,85,77,38,23,15,100,77,62,38,8,0,0,19,31,62,85,92,0,15,23,62,77,85,0,23,38,62,92,100,18,9,4,8,4,0,10,5,4,69,35,15,62,31,0,77,38,31,54,62,46,10,27,23,31,65,69,62,8,8,8,65,62,69,18,10,8,69,77,62,9,5,4,35,38,31,7,3,4,27,23,31,42,38,46,42,62,23,15,0,31,4.69,5.62,3.77,2.15,2.08,2.23,77,62,57,38,31,19,12,8,1.63,1.81,1.45,1.41,1.32,1.51,65,1,5,4,6,3,7,9,5,10,1,3,0,2,9,3,6,2,5,15,8,23,31,31,31,4
Al Quadisiya Al Khubar,Al Quadisiya,2024/2025,Saudi Arabia,26,13,13,0,16,9,7,4,2,2,6,2,4,2,2.23,1.77,4,3,5,4,38,22,16,60,26,34,18,20,8,14,10,6,62,65,58,106,145,83,13,7,6,10,4,6,4,2,2,16,10,6,159,84,75,58,25,33,54,52,55,362,182,180,170,76,94,192,106,86,324,151,173,18,9,9,10,3,7,8,6,2,13,8,5,8,3,5,5,2,3,1.81,2.08,1.54,2.31,2,2.62,1.46,1.38,1.54,0.85,0.62,1.08,1.08,0.92,1.23,0.69,0.69,0.69,0.38,0.23,0.54,25,19,11,3,2,0,13,9,4,0,0,0,12,10,7,3,2,0,1,7,15,23,24,26,0,4,9,13,13,13,1,3,6,10,11,13,96,73,42,12,8,0,100,69,31,0,0,0,92,77,54,23,15,0,4,27,58,88,92,100,0,31,69,100,100,100,8,23,46,77,85,100,20,7,1,10,2,0,10,5,1,77,27,4,77,15,0,77,38,8,62,69,54,11,50,54,46,38,31,46,15,15,15,62,77,46,19,11,8,73,85,62,11,5,6,42,38,46,2,0,2,8,0,15,50,62,38,31,23,38,19,15,23,6.12,6.46,5.77,2.23,1.92,2.54,92,85,73,62,50,31,19,8,1.75,1.68,1.82,1.13,1.08,1.19,35,4,2,1,5,10,1,1,4,10,2,3,2,2,3,2,3,1,4,15,15,15,23,15,31,8
Al Nassr FC,Al Nassr,2024/2025,Saudi Arabia,26,13,13,0,16,7,9,6,4,2,4,2,2,2.08,1.92,2.23,3,5,1,3,56,28,28,84,40,44,27,29,13,15,14,14,42,43,40,83,90,78,7,4,3,19,9,10,0,0,0,19,10,9,170,75,95,64,31,33,61,61,61,410,198,212,197,94,103,213,104,109,304,162,142,25,16,9,7,3,4,18,13,5,16,10,6,8,3,5,2,0,2,2.15,2.54,1.77,3.23,3.08,3.38,2.15,2.08,2.23,1.08,1,1.15,1.23,1.46,1,0.96,1.23,0.69,0.27,0.23,0.31,26,25,18,10,4,1,13,13,8,5,1,0,13,12,10,5,3,1,0,1,8,16,22,25,0,0,5,8,12,13,0,1,3,8,10,12,100,96,69,38,15,4,100,100,62,38,8,0,100,92,77,38,23,8,0,4,31,62,85,96,0,0,38,62,92,100,0,8,23,62,77,92,20,7,4,11,5,3,9,2,1,77,27,15,85,38,23,69,15,8,62,54,69,2,27,31,23,73,69,77,0,0,0,73,77,69,20,10,10,77,77,77,8,2,6,31,15,46,4,3,1,15,23,8,62,77,46,31,23,38,8,0,15,6.54,5.77,7.31,2.46,2.38,2.54,88,88,77,62,42,31,23,23,2.00,2.00,1.99,1.29,1.36,1.24,65,3,3,5,5,13,5,5,5,12,1,1,1,2,4,3,3,7,6,23,31,15,15,15,15,12
Al Ittihad FC Jeddah,Al Ittihad,2024/2025,Saudi Arabia,26,13,13,0,19,12,7,5,1,4,2,0,2,2.38,2.85,1.92,1,1,4,1,61,26,35,87,51,36,38,23,13,13,25,10,38,31,51,90,90,90,6,2,4,20,11,9,0,0,0,17,9,8,147,69,78,45,24,21,59,56,61,279,138,141,157,82,75,122,56,66,258,113,145,21,14,7,13,7,6,8,7,1,10,6,4,14,6,8,2,1,1,1.69,1.85,1.54,3.35,3.92,2.77,2.35,2.92,1.77,1,1,1,1.31,1.62,1,0.81,1.08,0.54,0.5,0.54,0.46,26,23,17,10,6,2,13,12,10,6,5,2,13,11,7,4,1,0,0,3,9,16,20,24,0,1,3,7,8,11,0,2,6,9,12,13,100,88,65,38,23,8,100,92,77,46,38,15,100,85,54,31,8,0,0,12,35,62,77,92,0,8,23,54,62,85,0,15,46,69,92,100,16,10,6,9,6,4,7,4,2,62,38,23,69,46,31,54,31,15,73,92,54,0,23,15,31,77,85,69,0,0,0,65,69,62,16,7,9,62,54,69,12,5,7,46,38,54,8,5,3,31,38,23,38,46,31,54,46,62,8,8,8,5.65,5.31,6.00,1.73,1.85,1.62,85,62,62,54,50,38,19,12,1.55,1.62,1.49,1.39,1.41,1.37,62,2,1,4,5,13,9,6,4,17,2,4,2,2,3,4,0,0,9,19,8,31,8,0,15,12
Al Feiha,Al Feiha,2024/2025,Saudi Arabia,26,13,13,0,5,2,3,11,6,5,10,5,5,1,0.92,1.08,13,14,11,13,19,33,-14,52,23,29,7,12,16,17,-9,-5,123,167,98,71,73,69,9,5,4,9,4,5,13,7,6,7,3,4,132,59,73,65,25,40,49,52,47,221,100,121,102,38,64,119,62,57,309,138,171,6,3,3,16,8,8,-10,-5,-5,4,2,2,11,6,5,11,5,6,0.88,0.92,0.85,2,1.77,2.23,0.73,0.54,0.92,1.27,1.23,1.31,0.85,0.85,0.85,0.23,0.23,0.23,0.62,0.62,0.62,21,17,8,4,2,0,10,7,2,2,2,0,11,10,6,2,0,0,5,9,18,22,24,26,3,6,11,11,11,13,2,3,7,11,13,13,81,65,31,15,8,0,77,54,15,15,15,0,85,77,46,15,0,0,19,35,69,85,92,100,23,46,85,85,85,100,15,23,54,85,100,100,16,5,1,7,3,1,9,2,0,62,19,4,54,23,8,69,15,0,19,15,23,-12,35,38,31,35,31,38,50,54,46,27,23,31,14,8,6,54,62,46,21,11,10,81,85,77,1,0,1,4,0,8,15,15,15,42,46,38,42,38,46,5.08,4.54,5.62,2.5,1.92,3.08,85,65,50,42,31,15,15,12,1.16,1.10,1.22,1.50,1.61,1.40,35,0,1,1,2,2,4,4,1,4,6,2,3,1,4,3,3,2,9,42,46,38,38,38,38,12
Al Taawon FC,Al Taawon,2024/2025,Saudi Arabia,26,13,13,0,10,5,5,7,5,2,9,3,6,1.42,1.54,1.31,7,7,9,7,29,24,5,53,30,23,17,12,13,11,4,1,80,69,98,98,90,106,11,6,5,9,6,3,8,2,6,14,8,6,110,48,62,70,30,40,56,54,58,262,148,114,114,58,56,148,90,58,304,144,160,15,12,3,10,6,4,5,6,-1,8,6,2,12,5,7,6,2,4,1.38,1.77,1,2.04,2.31,1.77,1.12,1.31,0.92,0.92,1,0.85,0.96,1.38,0.54,0.58,0.92,0.23,0.38,0.46,0.31,24,16,8,3,1,1,12,10,4,2,1,1,12,6,4,1,0,0,2,10,18,23,25,25,1,3,9,11,12,12,1,7,9,12,13,13,92,62,31,12,4,4,92,77,31,15,8,8,92,46,31,8,0,0,8,38,69,88,96,96,8,23,69,85,92,92,8,54,69,92,100,100,16,6,3,10,5,3,6,1,0,62,23,12,77,38,23,46,8,0,38,38,38,4,42,46,38,35,46,23,31,15,46,54,62,46,17,8,9,65,62,69,15,4,11,58,31,85,4,4,0,15,31,0,31,46,15,46,38,54,23,15,31,4.23,3.69,4.77,2.69,2.31,3.08,77,65,46,35,23,12,12,8,1.27,1.31,1.23,1.58,1.74,1.42,23,2,2,4,3,4,2,3,3,6,0,4,2,1,3,2,4,4,4,27,38,15,35,23,46,8
